Date,Open,High,Low,Close,Change (Pips),Currency Pair
2021-11-16,83.748,84.158,83.693,83.839,9.1,AUDJPY
2021-11-15,83.422,83.925,83.418,83.824,40.2,AUDJPY
2021-11-12,83.145,83.555,83.097,83.505,36.0,AUDJPY
2021-11-11,83.432,83.664,83.118,83.156,-27.6,AUDJPY
2021-11-10,83.223,83.956,82.995,83.441,21.8,AUDJPY
2021-11-09,84.012,84.066,83.118,83.278,-73.4,AUDJPY
2021-11-08,83.782,84.177,83.782,84.048,26.6,AUDJPY
2021-11-05,84.119,84.348,83.82,83.926,-19.3,AUDJPY
2021-11-04,84.868,85.206,83.894,84.169,-69.9,AUDJPY
2021-11-03,84.655,84.983,84.5,84.908,25.3,AUDJPY
2021-11-02,85.688,85.91,84.495,84.666,-102.2,AUDJPY
2021-11-01,85.633,86.062,85.608,85.745,11.2,AUDJPY
2021-10-29,85.61,85.87,85.319,85.703,9.3,AUDJPY
2021-10-28,85.463,85.708,85.112,85.666,20.3,AUDJPY
2021-10-27,85.559,86.058,85.048,85.558,-0.1,AUDJPY
2021-10-26,85.134,85.924,85.089,85.627,49.3,AUDJPY
2021-10-25,84.766,85.302,84.702,85.184,41.8,AUDJPY
2021-10-22,85.087,85.545,84.608,84.742,-34.5,AUDJPY
2021-10-21,85.771,86.25,84.885,85.114,-65.7,AUDJPY
2021-10-20,85.396,85.967,85.372,85.926,53.0,AUDJPY
2021-10-19,84.676,85.538,84.659,85.471,79.5,AUDJPY
2021-10-18,84.703,85.016,84.275,84.721,1.8,AUDJPY
2021-10-15,84.268,84.924,84.186,84.773,50.5,AUDJPY
2021-10-14,83.546,84.4,83.464,84.3,75.4,AUDJPY
2021-10-13,83.449,83.712,83.118,83.57,12.1,AUDJPY
2021-10-12,83.218,83.8,83.009,83.513,29.5,AUDJPY
2021-10-11,81.919,83.557,81.852,83.259,134.0,AUDJPY
2021-10-08,81.569,82.076,81.523,82.027,45.8,AUDJPY
2021-10-07,81.002,81.673,80.965,81.608,60.6,AUDJPY
2021-10-06,81.188,81.405,80.571,81.015,-17.3,AUDJPY
2021-10-05,80.766,81.349,80.553,81.254,48.8,AUDJPY
2021-10-04,80.487,81.179,80.487,80.843,35.6,AUDJPY
2021-10-01,80.357,80.807,79.899,80.654,29.7,AUDJPY
2021-09-30,80.31,80.902,80.276,80.413,10.3,AUDJPY
2021-09-29,80.663,80.928,80.187,80.343,-32.0,AUDJPY
2021-09-28,80.806,81.313,80.486,80.728,-7.8,AUDJPY
2021-09-27,80.219,80.963,80.171,80.878,65.9,AUDJPY
2021-09-24,80.371,80.767,80.005,80.41,3.9,AUDJPY
2021-09-23,79.437,80.596,79.354,80.485,104.8,AUDJPY
2021-09-22,78.937,79.942,78.843,79.489,55.2,AUDJPY
2021-09-21,79.144,79.833,78.859,78.996,-14.8,AUDJPY
2021-09-20,79.808,79.965,79.052,79.314,-49.4,AUDJPY
2021-09-17,79.918,80.505,79.86,79.884,-3.4,AUDJPY
2021-09-16,80.137,80.364,79.745,80.043,-9.4,AUDJPY
2021-09-15,80.225,80.344,79.825,80.205,-2.0,AUDJPY
2021-09-14,80.997,81.147,80.171,80.288,-70.9,AUDJPY
2021-09-13,80.759,81.128,80.669,81.083,32.4,AUDJPY
2021-09-10,80.75,81.43,80.732,80.807,5.7,AUDJPY
2021-09-09,81.148,81.247,80.775,80.847,-30.1,AUDJPY
2021-09-08,81.412,81.643,80.967,81.215,-19.7,AUDJPY
2021-09-07,81.692,81.988,81.284,81.482,-21.0,AUDJPY
2021-09-06,81.742,81.841,81.547,81.693,-4.9,AUDJPY
2021-09-03,81.325,82.025,81.251,81.729,40.4,AUDJPY
2021-09-02,81.02,81.524,80.883,81.369,34.9,AUDJPY
2021-09-01,80.454,81.224,80.391,81.054,60.0,AUDJPY
2021-08-31,80.156,80.637,80.069,80.449,29.3,AUDJPY
2021-08-30,80.24,80.38,79.979,80.197,-4.3,AUDJPY
2021-08-27,79.584,80.347,79.413,80.308,72.4,AUDJPY
2021-08-26,80.003,80.09,79.591,79.674,-32.9,AUDJPY
2021-08-25,79.554,80.098,79.391,80.011,45.7,AUDJPY
2021-08-24,79.044,79.742,79.01,79.608,56.4,AUDJPY
2021-08-23,78.084,79.188,77.991,79.112,102.8,AUDJPY
2021-08-20,78.355,78.629,77.892,78.395,4.0,AUDJPY
2021-08-19,79.37,79.553,78.246,78.438,-93.2,AUDJPY
2021-08-18,79.362,79.771,79.245,79.416,5.4,AUDJPY
2021-08-17,80.113,80.25,79.337,79.508,-60.5,AUDJPY
2021-08-16,80.708,80.875,79.888,80.154,-55.4,AUDJPY
2021-08-13,80.916,81.107,80.746,80.768,-14.8,AUDJPY
2021-08-12,81.358,81.458,80.946,81.013,-34.5,AUDJPY
2021-08-11,81.174,81.582,81.11,81.419,24.5,AUDJPY
2021-08-10,80.795,81.319,80.706,81.252,45.7,AUDJPY
2021-08-09,80.996,81.101,80.828,80.859,-13.7,AUDJPY
2021-08-06,81.216,81.394,81.013,81.049,-16.7,AUDJPY
2021-08-05,80.745,81.354,80.726,81.278,53.3,AUDJPY
2021-08-04,80.588,81.033,80.519,80.796,20.8,AUDJPY
2021-08-03,80.443,80.914,80.155,80.612,16.9,AUDJPY
2021-08-02,80.4,80.765,80.338,80.501,10.1,AUDJPY
2021-07-30,80.909,81.078,80.454,80.565,-34.4,AUDJPY
2021-07-29,81.015,81.356,80.754,80.968,-4.7,AUDJPY
2021-07-28,80.768,81.14,80.632,81.048,28.0,AUDJPY
2021-07-27,81.43,81.513,80.637,80.782,-64.8,AUDJPY
2021-07-26,81.296,81.516,80.771,81.467,17.1,AUDJPY
2021-07-23,81.244,81.657,81.053,81.395,15.1,AUDJPY
2021-07-22,81.102,81.476,80.858,81.309,20.7,AUDJPY
2021-07-21,80.485,81.189,80.085,81.142,65.7,AUDJPY
2021-07-20,80.353,80.602,79.841,80.502,14.9,AUDJPY
2021-07-19,81.402,81.589,80.016,80.392,-101.0,AUDJPY
2021-07-16,81.575,81.946,81.349,81.411,-16.4,AUDJPY
2021-07-15,82.24,82.332,81.426,81.529,-71.1,AUDJPY
2021-07-14,82.332,82.527,82.122,82.258,-7.4,AUDJPY
2021-07-13,82.503,82.815,82.077,82.349,-15.4,AUDJPY
2021-07-12,82.316,82.671,82.017,82.548,23.2,AUDJPY
2021-07-09,81.493,82.543,81.341,82.465,97.2,AUDJPY
2021-07-08,82.797,82.957,81.319,81.567,-123.0,AUDJPY
2021-07-07,82.858,83.343,82.648,82.758,-10.0,AUDJPY
2021-07-06,83.492,84.194,82.753,82.902,-59.0,AUDJPY
2021-07-05,83.446,83.618,83.416,83.572,12.6,AUDJPY
2021-07-02,83.238,83.637,83.038,83.55,31.2,AUDJPY
2021-07-01,83.248,83.652,83.106,83.31,6.2,AUDJPY
2021-06-30,83.026,83.349,82.812,83.319,29.3,AUDJPY
2021-06-29,83.686,83.724,83.0,83.025,-66.1,AUDJPY
2021-06-28,83.902,84.161,83.594,83.686,-21.6,AUDJPY
2021-06-25,84.038,84.256,84.01,84.113,7.5,AUDJPY
2021-06-24,84.018,84.166,83.874,84.074,5.6,AUDJPY
2021-06-23,83.422,84.14,83.422,84.057,63.5,AUDJPY
2021-06-22,83.07,83.656,82.792,83.577,50.7,AUDJPY
2021-06-21,82.398,83.244,82.133,83.187,78.9,AUDJPY
2021-06-18,83.124,83.379,82.415,82.427,-69.7,AUDJPY
2021-06-17,84.161,84.607,83.067,83.232,-92.9,AUDJPY
2021-06-16,84.569,84.754,84.068,84.226,-34.3,AUDJPY
2021-06-15,84.853,84.927,84.515,84.593,-26.0,AUDJPY
2021-06-14,84.469,84.936,84.452,84.879,41.0,AUDJPY
2021-06-11,84.722,85.05,84.387,84.477,-24.5,AUDJPY
2021-06-10,84.703,85.016,84.625,84.748,4.5,AUDJPY
2021-06-09,84.703,84.831,84.656,84.755,5.2,AUDJPY
2021-06-08,84.702,84.852,84.636,84.697,-0.5,AUDJPY
2021-06-07,84.693,84.874,84.558,84.731,3.8,AUDJPY
2021-06-04,84.416,84.842,84.319,84.803,38.7,AUDJPY
2021-06-03,84.908,84.991,84.308,84.498,-41.0,AUDJPY
2021-06-02,84.792,85.188,84.762,84.925,13.3,AUDJPY
2021-06-01,84.723,85.055,84.666,84.876,15.3,AUDJPY
2021-05-31,84.606,84.904,84.57,84.687,8.1,AUDJPY
2021-05-28,84.987,85.151,84.552,84.691,-29.6,AUDJPY
2021-05-27,84.464,85.068,84.337,85.059,59.5,AUDJPY
2021-05-26,84.255,84.802,84.255,84.492,23.7,AUDJPY
2021-05-25,84.263,84.667,84.243,84.337,7.4,AUDJPY
2021-05-24,84.089,84.383,83.974,84.317,22.8,AUDJPY
2021-05-21,84.53,84.655,84.11,84.214,-31.6,AUDJPY
2021-05-20,84.349,84.647,84.235,84.576,22.7,AUDJPY
2021-05-19,84.803,84.956,84.043,84.379,-42.4,AUDJPY
2021-05-18,84.669,85.149,84.669,84.814,14.5,AUDJPY
2021-05-17,84.878,85.138,84.455,84.848,-3.0,AUDJPY
2021-05-14,84.548,85.167,84.505,85.11,56.2,AUDJPY
2021-05-13,84.675,84.945,84.295,84.576,-9.9,AUDJPY
2021-05-12,85.181,85.261,84.594,84.734,-44.7,AUDJPY
2021-05-11,85.174,85.443,84.82,85.164,-1.0,AUDJPY
2021-05-10,85.284,85.803,85.159,85.188,-9.6,AUDJPY
2021-05-07,84.909,85.314,84.72,85.184,27.5,AUDJPY
2021-05-06,84.576,84.933,84.242,84.922,34.6,AUDJPY
2021-05-05,84.249,84.689,84.218,84.59,34.1,AUDJPY
2021-05-04,84.639,84.732,83.929,84.252,-38.7,AUDJPY
2021-05-03,84.353,84.747,84.287,84.658,30.5,AUDJPY
2021-04-30,84.593,84.853,84.141,84.311,-28.2,AUDJPY
2021-04-29,84.579,85.007,84.364,84.574,-0.5,AUDJPY
2021-04-28,84.365,84.751,84.133,84.633,26.8,AUDJPY
2021-04-27,84.275,84.511,84.079,84.462,18.7,AUDJPY
2021-04-26,83.487,84.497,83.487,84.293,80.6,AUDJPY
2021-04-23,83.17,83.745,83.065,83.594,42.4,AUDJPY
2021-04-22,83.757,83.859,83.123,83.208,-54.9,AUDJPY
2021-04-21,83.48,83.926,83.224,83.766,28.6,AUDJPY
2021-04-20,83.919,84.719,83.359,83.489,-43.0,AUDJPY
2021-04-19,84.038,84.147,83.75,83.887,-15.1,AUDJPY
2021-04-16,84.277,84.377,84.076,84.135,-14.2,AUDJPY
2021-04-15,84.145,84.413,83.885,84.278,13.3,AUDJPY
2021-04-14,83.273,84.285,83.105,84.129,85.6,AUDJPY
2021-04-13,83.379,83.465,83.033,83.362,-1.7,AUDJPY
2021-04-12,83.558,83.683,83.15,83.379,-17.9,AUDJPY
2021-04-09,83.59,83.785,83.034,83.543,-4.7,AUDJPY
2021-04-08,83.618,83.783,83.286,83.622,0.4,AUDJPY
2021-04-07,84.06,84.243,83.488,83.599,-46.1,AUDJPY
2021-04-06,84.251,84.463,83.792,84.108,-14.3,AUDJPY
2021-04-05,84.073,84.385,84.073,84.31,23.7,AUDJPY
2021-04-02,84.22,84.479,83.983,84.121,-9.9,AUDJPY
2021-04-01,84.08,84.274,83.432,84.247,16.7,AUDJPY
2021-03-31,83.812,84.478,83.665,84.089,27.7,AUDJPY
2021-03-30,83.754,84.287,83.696,83.821,6.7,AUDJPY
2021-03-29,83.73,83.929,83.334,83.811,8.1,AUDJPY
2021-03-26,82.755,83.806,82.705,83.802,104.7,AUDJPY
2021-03-25,82.391,83.06,82.388,82.75,35.9,AUDJPY
2021-03-24,82.746,83.039,82.288,82.416,-33.0,AUDJPY
2021-03-23,84.265,84.307,82.734,82.798,-146.7,AUDJPY
2021-03-22,83.677,84.378,83.646,84.307,63.0,AUDJPY
2021-03-19,84.476,84.658,84.113,84.336,-14.0,AUDJPY
2021-03-18,84.825,85.449,84.355,84.515,-31.0,AUDJPY
2021-03-17,84.418,85.006,84.124,84.831,41.3,AUDJPY
2021-03-16,84.618,84.669,84.193,84.418,-20.0,AUDJPY
2021-03-15,84.524,84.73,84.113,84.626,10.2,AUDJPY
2021-03-12,84.493,84.778,84.212,84.585,9.2,AUDJPY
